runId	studyId	route	summarystatsLocation	majorAncestry	traitFromSourceMappedIds	effectiveSampleSize
GCST90002351,GCST90018748,GCST90475531	GCST90002351	multi_susie_route	testdata/sumstats/GCST90002351	nfe	['EFO_0004833']	519288
GCST90002351,GCST90018748,GCST90475531	GCST90018748	multi_susie_route	testdata/sumstats/GCST90018748	eas	['EFO_0004833']	82810
GCST90002351,GCST90018748,GCST90475531	GCST90475531	multi_susie_route	testdata/sumstats/GCST90475531	afr	['EFO_0004833']	74049
GCST90002357,GCST90278666,GCST90476301	GCST90002357	multi_susie_route	testdata/sumstats/GCST90002357	nfe	['EFO_0004309']	542827
GCST90002357,GCST90278666,GCST90476301	GCST90278666	multi_susie_route	testdata/sumstats/GCST90278666	eas	['EFO_0004309']	241238
GCST90002357,GCST90278666,GCST90476301	GCST90476301	multi_susie_route	testdata/sumstats/GCST90476301	afr	['EFO_0004309']	114799
GCST90278661,GCST90475090,GCST90692780	GCST90278661	multi_susie_route	testdata/sumstats/GCST90278661	eas	['EFO_0004541']	163836
GCST90278661,GCST90475090,GCST90692780	GCST90475090	multi_susie_route	testdata/sumstats/GCST90475090	afr	['EFO_0004541']	98772
GCST90278661,GCST90475090,GCST90692780	GCST90692780	multi_susie_route	testdata/sumstats/GCST90692780	nfe	['EFO_0004541']	410656
GCST90278665,GCST90475419,GCST90501104	GCST90278665	multi_susie_route	testdata/sumstats/GCST90278665	eas	['EFO_0004611']	165481
GCST90278665,GCST90475419,GCST90501104	GCST90475419	multi_susie_route	testdata/sumstats/GCST90475419	afr	['EFO_0004611']	113217
GCST90278665,GCST90475419,GCST90501104	GCST90501104	multi_susie_route	testdata/sumstats/GCST90501104	nfe	['EFO_0004611']	450015
